数据期,行业代码,门类代码,门类内容,大类代码,大类内容,中类代码,中类内容,小类代码,小类内容,经度,维度,注册资本(人民币元),企业经营日期,企业登记设立日期,企业缴纳社保人员数
2015,K7010,K,房地产业,70,房地产业,701,房地产开发经营,7010,房地产开发经营,113.914607,22.577523,10000000,1993/1/1,1989/8/6,110
2015,F5252,F,批发和零售业,52,零售业,525,医药及医疗器材专门零售,5252,中药零售,113.914967,22.582832,4000000,1993/1/1,1986/3/28,269
2015,F5111,F,批发和零售业,51,批发业,511,农、林、牧、渔产品批发,5111,谷物、豆及薯类批发,113.910864,22.557227,312680000,1993/1/1,1986/6/9,67
2015,F5164,F,批发和零售业,51,批发业,516,矿产品、建材及化工产品批发,5164,金属及金属矿批发,113.89068,22.574324,170375940,1991/12/21,1989/1/28,68
2015,F5265,F,批发和零售业,52,零售业,526,汽车、摩托车、零配件和燃料及其他动力销售,5265,机动车燃油零售,113.901958,22.548334,10000000,2010/4/1,1984/7/1,73
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.897913,22.567780,10360000,2003/10/1,1989/4/18,19
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.845320,22.769178,20000000,2000/1/1,1987/6/10,264
2015,K7020,K,房地产业,70,房地产业,702,物业管理,7020,物业管理,113.835762,22.718259,10000000,1997/1/1,1986/4/1,39
2015,L7211,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7211,企业总部管理,113.885308,22.582705,12633400,2003/3/1,1988/5/27,197
2015,K7010,K,房地产业,70,房地产业,701,房地产开发经营,7010,房地产开发经营,113.889669,22.559312,62300000,2011/1/1,1990/2/18,6
2015,L7211,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7211,企业总部管理,113.831463,22.605677,24520000,2002/10/1,1990/2/27,44
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.804155,22.713029,15960000,2003/4/1,1987/6/21,171
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.822546,22.731677,25600000,2006/1/1,1987/6/14,361
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.811608,22.738898,7200000,2006/11/1,1988/3/16,50
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.836231,22.763123,19450000,2003/9/1,1987/6/10,162
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.801429,22.729981,6500000,2003/7/1,1987/6/16,104
2015,L7211,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7211,企业总部管理,113.883596,22.580644,7571500,2003/9/1,1988/2/3,78
2015,L7211,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7211,企业总部管理,113.866691,22.560366,10000000,2003/11/1,1987/2/16,21
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.846847,22.739058,10192500,2003/1/1,1987/9/6,125
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,,,15000000,2003/8/1,1988/1/27,120
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.875698,22.79625,18000000,2003/10/1,1986/6/7,213
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.813603,22.781537,3000000,2003/8/1,1987/4/2,86
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.860951,22.801497,10000000,2003/8/1,1987/5/25,132
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,,,42930000,2012/7/1,1986/6/8,560
2015,K7020,K,房地产业,70,房地产业,702,物业管理,7020,物业管理,113.827887,22.726929,212340000,2006/3/1,1987/6/25,80
2015,E4899,E,建筑业,48,土木工程建筑业,489,其他土木工程建筑,4899,其他土木工程建筑施工,113.902849,22.5654,3000000,2003/11/1,1986/10/22,55
2015,F5165,F,批发和零售业,51,批发业,516,矿产品、建材及化工产品批发,5165,建材批发,113.879417,22.548783,31000000,1993/1/1,1990/5/15,32
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.834805,22.726916,11700000,2005/8/1,1987/6/12,322
